,AAPL_pred
2021-10-25,4.983820744390583
2021-10-26,4.988385191753104
2021-10-27,4.985232867982006
2021-10-28,5.009917161137737
2021-10-29,4.991594693278667
2021-11-01,4.985971443909625
2021-11-02,4.9930622533982225
2021-11-03,5.002813236819021
2021-11-04,4.999308365124863
2021-11-05,5.00288448851711
2021-11-08,4.997316399268225
2021-11-09,4.999772675897613
2021-11-10,4.980423657344667
2021-11-12,4.994320577206504
2021-11-15,4.99438726700956
2021-11-16,5.00103193571533
2021-11-17,5.017387450960418
2021-11-18,5.045523900519524
2021-11-19,5.062357334653106
2021-11-22,5.06528064026371
2021-11-23,5.067699568079478
2021-11-24,5.070977917668404
2021-11-26,5.038786828947907
2021-11-29,5.060424772772675
2021-11-30,5.0915141154706385
2021-12-01,5.088302605374516
2021-12-02,5.082153944470624
2021-12-03,5.070360307955394
2021-12-06,5.091635044409554
2021-12-07,5.126467643678852
2021-12-08,5.148994921882956
2021-12-09,5.14602038544656
2021-12-10,5.173648735295475
2021-12-13,5.152757570717457
2021-12-14,5.144702037881261
2021-12-15,5.172812408997181
2021-12-16,5.132756778323939
2021-12-17,5.12623405214638
2021-12-20,5.118078600176962
2021-12-21,5.13698567361325
2021-12-22,5.152188296025021
2021-12-23,5.155825485917417
2021-12-27,5.178540605468215
2021-12-28,5.1727566175002835
2021-12-29,5.17325845603599
2021-12-30,5.166658348005822
2022-01-03,5.18781355714829
2022-01-04,5.175040743573478
2022-01-05,5.148080615099179
2022-01-06,5.1312464485245295
2022-01-07,5.1322342819248155
2022-01-10,5.132350565943482
2022-01-11,5.148994921882956
2022-01-12,5.151561798849227
2022-01-13,5.132350565943482
2022-01-14,5.137448255842217
2022-01-18,5.1183733826975155
2022-01-19,5.09712437047184
2022-01-20,5.086723189092862
2022-01-21,5.073876167317385
2022-01-24,5.068999685052275
2022-01-25,5.057549921248323
2022-01-26,5.056986311298664
2022-01-27,5.054038914288937
2022-01-28,5.121489723736565
2022-01-31,5.1472800323499985
2022-02-01,5.1463069575724445
2022-02-02,5.153326521520591
2022-02-03,5.136465293007174
2022-02-04,5.134784560141812
2022-02-07,5.130541093179761
2022-02-08,5.148839184570559
2022-02-09,5.157098858524891
2022-02-10,5.133217090950403
2022-02-11,5.112791493178376
2022-02-14,5.114213735742472
2022-02-15,5.137102302870087
2022-02-16,5.13571235582355
2022-02-17,5.114213735742472
2022-02-18,5.104813926478895
2022-02-22,5.0868410225671505
2022-02-23,5.060636611459228
2022-02-24,5.077179382542006
2022-02-25,5.090061074730587
2022-02-28,5.091697707804612
2022-03-01,5.080001563201049
2022-03-02,5.100380907422143
2022-03-03,5.098397621623009
2022-03-04,5.079817709250616
2022-03-07,5.0558144814684765
2022-03-08,5.0440697160132455
2022-03-09,5.078468666584049
2022-03-10,5.050905964790457
2022-03-11,5.0267069277767105
2022-03-14,4.999785221845863
2022-03-15,5.029031129117342
2022-03-16,5.057633294954217
2022-03-17,5.064066519578553
2022-03-18,5.084769656340744
2022-03-21,5.0932710724011585
2022-03-22,5.11385827294291
2022-03-23,5.122058358446514
2022-03-24,5.144482811573084
2022-03-25,5.14820987580437
2022-03-28,5.153233997525477
2022-03-29,5.172187712564613
2022-03-30,5.165515862345052
2022-03-31,5.147580170759264
2022-04-01,5.145860629810147
2022-04-04,5.169277649965171
2022-04-05,5.150153950822342
2022-04-06,5.131530885236056
2022-04-07,5.133333440705095
2022-04-08,5.121352773458772
2022-04-11,5.09550585340589
2022-04-12,5.106963410439131
2022-04-13,5.123173843341726
2022-04-14,5.092726683038503
2022-04-18,5.0913950485665795
2022-04-19,5.105411366150749
2022-04-20,5.1043954599207355
2022-04-21,5.099540078399712
2022-04-22,5.0713243478136265
2022-04-25,5.0780390265086695
2022-04-26,5.039996453267799
2022-04-27,5.038528464930761
2022-04-28,5.082694179954852
2022-04-29,5.045402471714969
2022-05-02,5.047367099247393
